代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
4739,康普,103.5,104,104,-1,-0.95,5355,48.41,46,0,-82,-36,3178,3256,-78,-0.01,-1889,628,238,231,2524,0.16,0.51,770,697,73,1465,1461,4,32.6,1026.89,26.04,96.24,8011.78,1.51,17.93,3.21,0.96,24.73,7512,12.47
4741,泓瀚,62.6,62.7,62.6,-0.9,-1.42,901,32.81,-54,0,76,22,17,107,-90,-0.1,-107,0,0,0,107,0,0.12,164,224,-60,729,579,150,125.2,51.52,8.34,20.25,500.17,0.31,35.31,1.14,0.48,13.97,1216,3.48
4743,合一,50.8,50.9,50.8,0.1,0.2,2360,38.31,154,0,-1,153,843,860,-17,-0.01,-191,304,0,0,495,0.13,0.21,503,440,63,1046,1092,-46,--,21.66,50.65,101.83,151.45,-0.31,18.79,-1.45,0,12.07,14500,48.04
4744,皇將,34.15,34.25,34.15,-0.35,-1.01,200,41.84,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,36,40,-4,164,160,4,17.16,49.63,-65.86,-27.5,1384.55,-0.11,43.71,-0.49,2.93,22.13,3151,5.69
4745,合富-KY,16.1,16.2,16.1,-0.3,-1.83,113,15.93,-3,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,114,0,--,287.48,11.27,-10.88,2876.2,-0.4,16.53,-0.99,0,0.68,132,6.97
4746,台耀,50.8,50.9,50.8,-0.4,-0.78,1073,27.24,-613,0,0,-613,111,413,-302,-0.28,-413,0,0,0,413,0,0.38,140,225,-85,838,451,387,18.01,330.54,-27.51,-25.72,4657.21,0.16,42.98,0.17,5.91,7.69,2313,12.03
4747,強生,56.3,56.5,56.5,-0.3,-0.53,76,90.79,-3,0,-3,-6,22,22,0,0,-22,0,0,0,22,0,0.29,18,16,2,37,39,-2,26.16,46.78,-7.15,0.51,569.81,1.46,39.8,3.81,1.86,14.01,1592,4.55
4749,新應材,1115,1120,1115,-25,-2.19,2385,46.22,-271,-120,-47,-438,2425,2454,-29,-0.01,-1838,129,359,364,1962,0.19,0.92,13,17,-4,87,55,32,87.93,352.64,-18.55,-12.39,4498.33,3.66,45.41,3.72,0.72,22.99,5329,9.27
4754,國碳科,38,38.2,38.1,0.1,0.26,21,25,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,14.22,63.17,7,22.67,596.33,0.95,49.27,5.23,6.04,1.4,106,3.03
4755,三福化,162,162.5,162.5,7,4.5,2103,58.39,875,0,9,884,1450,755,695,0.32,1442,1450,0,8,0,0.67,0,290,362,-72,410,1033,-623,45.01,390.78,1.02,-12.94,4751.1,1.01,22.06,1.61,2.28,5.37,1351,10.07
4760,勤凱,386.5,387,387,-8.5,-2.15,1813,39.93,-390,0,35,-355,742,1014,-272,-0.15,-483,229,45,73,684,0.15,0.41,301,250,51,813,592,221,51.33,228.86,-7.62,63.1,2209.94,2.55,19.74,7.85,1.21,42.5,3423,3.22
4763,材料*-KY,41.4,41.45,41.4,-0.5,-1.19,6201,24.5,-1769,10,-9,-1768,1550,3582,-2032,-0.32,-3389,0,193,202,3380,0.03,0.57,745,674,71,3995,2034,1961,8.01,877.66,-10.17,-41.52,11165.35,1.13,55.58,5.33,7.37,18.85,46615,9.89
4764,雙鍵,320,321,321,-17,-5.03,3033,45.17,-686,290,4,-392,1702,2137,-435,-0.14,-973,217,718,788,1120,0.3,0.62,436,337,99,965,629,336,170.74,336.39,0.53,20.92,3070.96,1.03,26.53,3.7,0.31,34.39,7355,8.55
4766,南寶,366.5,367,367,-8,-2.13,948,31.4,-359,-2,-2,-363,357,685,-328,-0.33,-525,52,56,79,554,0.11,0.63,159,90,69,483,224,259,17.68,2285.14,-4.5,14.97,23779.82,6.55,35.11,5.6,4.9,8.08,2435,12.06
4767,誠泰科技,26.2,26.75,26.7,0.05,0.19,16,43.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,18.94,80.1,-8.28,-15.74,945.28,0.58,27.28,1.96,4.12,0.04,3,3.14
4768,晶呈科技,503,504,504,7.5,1.51,3160,47.55,86,0,2,88,2093,2149,-56,-0.02,1425,1571,522,668,0,0.64,0.2,1104,1047,57,98,99,-1,--,173.68,-1.2,191.53,1613.36,-0.58,13.39,-1.85,0.2,33.96,4031,4.75
4770,上品,263.5,264,263.5,-2.5,-0.94,2157,45,-353,0,-15,-368,1026,1297,-271,-0.12,-729,55,456,657,583,0.23,0.56,449,407,42,736,507,229,26.04,487.04,0.03,44.41,4968.65,2.52,34.94,2.47,2.28,11.65,2330,8
4771,望隼,199.5,200.5,200.5,1,0.5,430,61.08,92,0,2,94,132,173,-41,-0.09,61,105,0,0,44,0.24,0.1,117,73,44,188,190,-2,15.39,420.18,20.71,47.26,3842.48,3.66,40.99,5.3,3.49,3.35,491,5.87
4772,台特化,302.5,303,302.5,-0.5,-0.17,2894,45.67,0,0,63,63,1447,1548,-101,-0.03,435,1024,225,504,310,0.41,0.27,579,588,-9,1002,891,111,62.63,285.08,1.97,210.12,2821.62,1.33,50.96,6.02,0.99,13.61,5024,14.77
