代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
4420,光明,38.5,38.7,38.7,-0.05,-0.13,51,16.67,-20,0,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,47.78,79.33,-14.1,-8.88,999.19,0.17,6.06,0.46,7.75,3.06,309,4.05
4426,利勤,8.1,8.15,8.1,-0.39,-4.59,434,44.17,-87,0,7,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,438,0,--,87.94,3.19,26.83,885.67,-0.28,-1.82,-2.64,0,2.07,893,17.27
4430,耀億,17.25,17.55,17.45,-0.25,-1.41,20,80,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,--,201.85,10.78,11.37,2084.75,0.24,22.09,0.78,2.87,0.23,33,5.63
4432,銘旺實,16.4,16.45,16.45,-0.05,-0.3,81,18.99,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,36,-36,81,45,36,4.88,53.7,-23.9,13.33,1080.07,2.97,25.07,9.95,2.43,4.06,514,5.06
4433,興采,20.4,20.45,20.4,-0.45,-2.16,64,12.9,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,0,23.18,165.75,-21.99,-16.98,3443.31,0.14,16.23,3.52,4.9,1.93,295,6.13
4438,廣越,60.3,60.8,60.3,-1.6,-2.58,105,36.54,-4,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,0,15.38,1506.57,56.78,38.32,19860.81,-0.04,11.91,0.53,3.81,3.39,960,11.34
4439,冠星-KY,89.1,90.4,90.3,0.3,0.33,13,53.85,-6,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,10.93,787.28,14.87,15.56,7244.84,2.59,19.37,2.87,4.43,2.41,230,3.81
4440,宜新實業,17.95,18,17.95,-0.3,-1.64,34,18.18,-4,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,10.44,73.47,-30.83,-10.34,1155.52,0.51,17.32,2.62,5.57,0.69,116,6.76
4441,振大環球,203,205.5,203,-8.5,-4.02,111,29.91,-26,0,-2,-28,11,18,-7,-0.06,-18,0,0,0,18,0,0.16,33,7,26,68,87,-19,14.24,801.36,32.98,37.34,8078.39,4.81,25.32,4.85,5.32,0.43,73,6.82
4442,竣邦-KY,49.05,51.1,50.1,-0.6,-1.18,10,40,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,11.18,213.75,29.65,4.2,1706.2,1.17,27.15,4.22,6.79,0.26,21,3.23
4502,健信,15.8,15.9,15.9,-0.05,-0.31,29,42.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,--,107.89,16.07,18.51,1008.77,0.11,20.02,1.1,0,--,530,5.75
4503,金雨,37.85,38.2,38.2,-0.9,-2.3,180,38.89,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,182,0,17.52,70.1,-21.09,38.44,730.51,0.81,36.36,3.83,0,19.24,2466,7.83
4506,崇友,116.5,117,117,-0.5,-0.43,74,43.06,-6,0,0,-6,9,20,-11,-0.14,-20,0,0,0,20,0,0.25,5,0,5,66,60,6,16.81,516.69,-25.24,4.3,6268.35,2.11,33.53,6.2,4.53,0,2,17.7
4510,高鋒,46.5,46.6,46.6,-2.8,-5.67,1735,47.6,203,0,-65,138,83,57,26,0.01,-4,0,53,0,57,0.03,0.03,145,186,-41,1521,1506,15,--,177.3,22.19,45.75,1802.67,0.2,18.25,2.25,0,21.71,5916,10.9
4513,福裕,15.45,15.5,15.45,0.2,1.31,735,57.32,111,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,742,0,--,109.83,27.92,14.97,1191.99,0.05,19.76,0.48,0,12.9,2652,14.38
4523,永彰,28.65,28.7,28.65,-1.45,-4.82,183,32.72,-15,0,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,184,0,1.21,63.35,-29.91,-2.26,767.42,-0.15,18.06,-0.87,9.21,7.54,1225,6.49
4526,東台,40.1,40.15,40.1,-2.05,-4.86,5573,47.78,889,0,-147,742,1456,1073,383,0.07,17,0,1090,581,492,0.19,0.19,938,1030,-92,3217,3508,-291,38.93,439.75,-3.86,-10.24,4865.03,-0.65,12.1,-3.44,2.49,12.51,7968,25.48
4527,方土霖,40.9,41.05,40.95,-1,-2.38,62,31.15,-5,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,0,11.57,256.27,0.58,40.08,3155.38,0.65,26.04,2.75,7.33,0.57,108,7.62
4528,江興鍛,15.75,15.8,15.75,-0.05,-0.32,25,52.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,--,116.58,-6.69,9.37,1541.56,-0.16,13.08,-0.61,1.27,0.88,185,8.42
4529,淳紳,5.26,5.27,5.27,0.44,9.11,97,65.98,-9,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,0,--,3.5,36.2,689.84,10.38,-0.17,40.11,-5.17,0,--,0,8.45
4530,宏易,24.1,25.2,--,--,--,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,--,--,0,0,0,0,0,0,101.2,72.69,236.74,230.49,437.96,-0.2,24.6,-0.45,0,0.79,25,3.58
4532,瑞智,24.2,24.25,24.2,-0.35,-1.43,1059,48.53,369,-19,40,390,194,60,134,0.13,87,0,147,0,60,0.14,0.06,228,166,62,647,843,-196,13.52,2025.38,-12.85,16.66,20163.83,0.48,14.09,2.23,6.2,2.32,2867,49.49
4533,協易機,29.15,29.2,29.15,-1.85,-5.97,2061,40.43,0,0,-49,-49,89,84,5,0,-84,0,0,84,0,0,0.04,161,353,-192,1828,1641,187,1457.5,415.19,36.57,9.54,3901.26,0.2,25.94,1.21,0.69,24.17,9573,15.84
4534,慶騰,31.85,31.9,31.85,-1.3,-3.92,3513,51.95,787,0,-1,786,896,707,189,0.05,-244,0,463,452,255,0.13,0.2,466,327,139,2174,2502,-328,167.63,87.45,-2.6,29.23,857.08,0.02,16.31,0.19,0,--,0,8.68
4535,至興,27,27.1,27.05,-0.15,-0.55,9,77.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,26.78,227.21,3.56,-0.38,2470.39,0.29,17.65,1.62,2.96,0.7,132,7.57
4536,拓凱,160.5,162,160.5,-2,-1.23,240,46.43,38,0,-1,37,40,85,-45,-0.18,-45,0,40,75,10,0.16,0.35,88,22,66,117,138,-21,11.96,860.7,0.76,-17.22,8938.86,3.61,34.31,3.75,4.98,3.7,840,9.08
4538,大詠城,18.1,18.15,18.15,-0.35,-1.89,50,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,64.82,37.33,15.92,23.97,404.41,0.1,16.52,0.71,5.51,3.65,542,5.95
4540,全球傳動,64.8,64.9,64.8,-4.8,-6.9,3675,45.85,518,0,0,518,1006,904,102,0.03,10,0,914,722,182,0.25,0.24,693,759,-66,2038,2074,-36,--,254.26,-26.7,33.35,2939.5,-0.19,13.94,-0.64,0,21.18,6100,11.52
4541,晟田,46.5,46.6,46.5,-0.75,-1.59,857,53.81,91,0,8,99,23,0,23,0.03,23,0,23,0,0,0.03,0,106,54,52,733,808,-75,22.36,183.26,10.01,10.16,1820.12,0.68,20.52,2.72,3.01,25.26,4271,6.76
4542,科嶠,314.5,--,314.5,28.5,9.97,2903,87.56,367,0,-8,359,2389,2078,311,0.11,2046,2206,0,0,160,0.75,0.05,253,443,-190,314,434,-120,264.29,108.12,12.37,57.55,806.75,0.4,39.18,1.78,0.3,63.51,5491,3.46
4543,萬在,39.2,39.25,39.25,-2.6,-6.21,503,51.41,47,0,0,47,0,90,-90,-0.18,-90,0,0,28,62,0,0.18,38,54,-16,471,365,106,39.65,76.94,1.7,0.02,877.77,0.76,34.05,2.52,1.78,6.91,1033,5.98
4545,銘鈺,37.3,37.35,37.3,-2.8,-6.98,712,30.21,186,0,0,186,60,164,-104,-0.15,-164,0,0,0,164,0,0.23,100,76,24,556,476,80,--,222.62,41.36,22.6,2361.32,0.21,15.23,0.85,0.35,6.7,1290,7.7
4549,桓達,--,108.5,108.5,-12,-9.96,541,17.59,-27,10,-1,-18,153,208,-55,-0.1,-187,0,21,26,182,0.04,0.38,95,140,-45,306,206,100,35.57,110.42,26.02,-2.28,1174.33,0.74,62.38,2.18,2.95,7.85,1118,5.7
4550,長佳,25.25,25.35,25.3,0.3,1.2,103,64.58,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,104,0,14.21,41.22,-0.61,-5.28,916.53,0.62,22.76,2.44,4.82,1.47,139,3.78
